date,baseline_reg,baseline_clf,xgboost_reg,xgboost_clf,lstm_reg,lstm_clf,buy_and_hold
2024-03-27,10000.0,10653.469642748849,10591.964776246039,10360.919943101224,10000.0,10034.246895496055,10229.916083279291
2024-03-28,10000.0,10722.639818139995,10660.735616721324,10428.190670264341,10000.0,10094.379497063193,10296.336236848578
2024-04-01,10000.0,10907.093619183048,10655.405248912964,10422.976574929211,10000.0,10268.025791164617,10473.45664636668
2024-04-02,10000.0,10942.959418881477,10655.405248912964,10452.038964097086,10000.0,10301.790143904425,10507.896517458286
2024-04-03,10000.0,11091.546442956354,10655.405248912964,10593.960112274808,10000.0,10296.639248832473,10650.576117468672
2024-04-04,10000.0,11132.537045205698,10689.45631827581,10633.111803830265,10000.0,10296.639248832473,10689.937042620346
2024-04-05,10000.0,11071.05211910143,10630.418524001681,10574.38519992478,10000.0,10296.639248832473,10630.896593308942
2024-04-08,10000.0,10917.341269745384,10482.825445877217,10569.09800732482,10000.0,10296.639248832473,10483.296877654597
2024-04-09,10000.0,11042.87156868988,10477.584033154279,10685.33956982139,10000.0,10409.884242295331,10603.836426475222
2024-04-10,10000.0,10890.440942701816,10477.584033154279,10679.996900036482,10000.0,10266.19107683143,10457.466035919784
2024-04-11,10000.0,10972.421169930754,10477.584033154279,10679.996900036482,10000.0,10343.472123731406,10536.186947807024
2024-04-12,10000.0,10940.397994875766,10477.584033154279,10643.487171130448,10000.0,10338.300387669542,10505.436928844361
2024-04-15,10000.0,10933.992968956869,10477.584033154279,10638.165427544884,10000.0,10338.300387669542,10499.286549685385
2024-04-16,10000.0,10591.98569391433,10477.584033154279,10638.165427544884,10000.0,10338.300387669542,10170.876572383995
2024-04-17,10000.0,10597.109519195496,10477.584033154279,10637.992509350028,10000.0,10338.300387669542,10175.796688027955
2024-04-18,10000.0,10649.62701810541,10524.270391768918,10632.673513095351,10000.0,10338.300387669542,10226.22623115035
2024-04-19,10000.0,10612.480017769254,10487.560648308776,10632.673513095351,10000.0,10338.300387669542,10190.556096543725
2024-04-22,10000.0,10677.807568516959,10552.119229274289,10632.673513095351,10000.0,10338.300387669542,10253.286397984071
2024-04-23,10000.0,10607.356192488087,10482.497135510863,10632.673513095351,10000.0,10338.300387669542,10185.635980899768
2024-04-24,10000.0,10704.70691829078,10578.7019471386,10632.673513095351,10000.0,10428.012660145254,10279.116301302774
